group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
stochasticity,sigma=0.5,mc,A1_grid,2,1.0,-53.7,64.7,0.119658,46716,True,32.027
stochasticity,sigma=0.5,q_learning,A1_grid,2,1.0,-48.68,59.68,0.008547,32117,True,23.023
stochasticity,sigma=0.5,value_iteration,A1_grid,3,1.0,-49.16,60.16,0.0,146,,0.361
stochasticity,sigma=0.5,mc,A1_grid,3,1.0,-49.12,60.12,0.094017,48412,True,32.721
stochasticity,sigma=0.5,q_learning,A1_grid,3,1.0,-48.78,59.78,0.0,43937,True,30.394
stochasticity,sigma=0.5,value_iteration,A1_grid,4,1.0,-49.72,60.72,0.0,146,,0.355
stochasticity,sigma=0.5,mc,A1_grid,4,1.0,-53.86,64.86,0.136752,42794,True,29.659
stochasticity,sigma=0.5,q_learning,A1_grid,4,1.0,-49.1,60.1,0.0,53297,True,36.354
exploration_epsilon,low_fixed_epsilon,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,low_fixed_epsilon,mc,A1_grid,0,1.0,-17.0,28.0,0.008547,100000,False,49.968
exploration_epsilon,low_fixed_epsilon,q_learning,A1_grid,0,1.0,-17.0,28.0,0.008547,2803,True,1.434
exploration_epsilon,low_fixed_epsilon,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,low_fixed_epsilon,mc,A1_grid,1,1.0,-17.0,28.0,0.008547,100000,False,49.342
exploration_epsilon,low_fixed_epsilon,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,6177,True,3.133
exploration_epsilon,low_fixed_epsilon,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,low_fixed_epsilon,mc,A1_grid,2,1.0,-17.0,28.0,0.008547,100000,False,49.519
exploration_epsilon,low_fixed_epsilon,q_learning,A1_grid,2,1.0,-17.0,28.0,0.008547,2640,True,1.354
exploration_epsilon,low_fixed_epsilon,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,low_fixed_epsilon,mc,A1_grid,3,1.0,-19.0,30.0,0.034188,100000,False,49.886
exploration_epsilon,low_fixed_epsilon,q_learning,A1_grid,3,1.0,-17.0,28.0,0.008547,3017,True,1.571
exploration_epsilon,low_fixed_epsilon,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,low_fixed_epsilon,mc,A1_grid,4,1.0,-19.0,30.0,0.025641,100000,False,49.408
exploration_epsilon,low_fixed_epsilon,q_learning,A1_grid,4,1.0,-17.0,28.0,0.017094,3136,True,1.598
exploration_epsilon,high_fixed_epsilon,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,high_fixed_epsilon,mc,A1_grid,0,1.0,-17.0,28.0,0.0,100000,False,52.115
exploration_epsilon,high_fixed_epsilon,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,2664,True,1.529
exploration_epsilon,high_fixed_epsilon,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,high_fixed_epsilon,mc,A1_grid,1,1.0,-17.0,28.0,0.017094,100000,False,52.345
exploration_epsilon,high_fixed_epsilon,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,5955,True,3.358
exploration_epsilon,high_fixed_epsilon,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.079
exploration_epsilon,high_fixed_epsilon,mc,A1_grid,2,1.0,-17.0,28.0,0.017094,100000,False,52.361
exploration_epsilon,high_fixed_epsilon,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,3309,True,1.889
exploration_epsilon,high_fixed_epsilon,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,high_fixed_epsilon,mc,A1_grid,3,1.0,-17.0,28.0,0.008547,100000,False,52.146
exploration_epsilon,high_fixed_epsilon,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,2246,True,1.306
exploration_epsilon,high_fixed_epsilon,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,high_fixed_epsilon,mc,A1_grid,4,1.0,-17.0,28.0,0.0,100000,False,52.09
exploration_epsilon,high_fixed_epsilon,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,3483,True,1.977
exploration_epsilon,decaying_epsilon,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.076
exploration_epsilon,decaying_epsilon,mc,A1_grid,0,1.0,-19.0,30.0,0.068376,5395,True,3.325
exploration_epsilon,decaying_epsilon,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,1990,True,1.579
