setup_group,condition,algorithm,grid,seed,start_pos,sigma,gamma,alpha,alpha_min,alpha_decay,lr_schedule,visit_count_c,epsilon,epsilon_min,epsilon_decay,fixed_epsilon,ql_episodes,mc_episodes,max_episode_length,success_rate,mean_discounted_return,mean_undiscounted_return,mean_episode_length,mean_success_episode_length,policy_difference_from_optimal,training_time_s
stochasticity,sigma=0.02,mc,A1_grid,3,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.676148,-17.64,28.64,28.64,0.102564,17.251
stochasticity,sigma=0.02,q_learning,A1_grid,3,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.79188,-17.78,28.78,28.78,0.08547,26.46
stochasticity,sigma=0.02,value_iteration,A1_grid,4,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.660041,-17.62,28.62,28.62,0.0,0.106
stochasticity,sigma=0.02,mc,A1_grid,4,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-18.219886,-19.5,30.5,30.5,0.136752,15.362
stochasticity,sigma=0.02,q_learning,A1_grid,4,"1,12",0.02,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-16.7424,-17.72,28.72,28.72,0.051282,27.069
stochasticity,sigma=0.5,value_iteration,A1_grid,0,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.627129,-48.94,59.94,59.94,0.0,0.365
stochasticity,sigma=0.5,mc,A1_grid,0,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.733622,-49.14,60.14,60.14,0.08547,30.977
stochasticity,sigma=0.5,q_learning,A1_grid,0,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.847677,-49.18,60.18,60.18,0.017094,26.183
stochasticity,sigma=0.5,value_iteration,A1_grid,1,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.78216,-49.2,60.2,60.2,0.0,0.36
stochasticity,sigma=0.5,mc,A1_grid,1,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-39.569946,-50.42,61.42,61.42,0.068376,29.048
stochasticity,sigma=0.5,q_learning,A1_grid,1,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.832943,-49.24,60.24,60.24,0.017094,30.289
stochasticity,sigma=0.5,value_iteration,A1_grid,2,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.78216,-49.2,60.2,60.2,0.0,0.369
stochasticity,sigma=0.5,mc,A1_grid,2,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-41.433549,-53.7,64.7,64.7,0.119658,32.027
stochasticity,sigma=0.5,q_learning,A1_grid,2,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.530857,-48.68,59.68,59.68,0.008547,23.023
stochasticity,sigma=0.5,value_iteration,A1_grid,3,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.754308,-49.16,60.16,60.16,0.0,0.361
stochasticity,sigma=0.5,mc,A1_grid,3,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.713068,-49.12,60.12,60.12,0.094017,32.721
stochasticity,sigma=0.5,q_learning,A1_grid,3,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.594917,-48.78,59.78,59.78,0.0,30.394
stochasticity,sigma=0.5,value_iteration,A1_grid,4,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-39.111687,-49.72,60.72,60.72,0.0,0.355
stochasticity,sigma=0.5,mc,A1_grid,4,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-41.521369,-53.86,64.86,64.86,0.136752,29.659
stochasticity,sigma=0.5,q_learning,A1_grid,4,"1,12",0.5,0.99,0.2,0.01,0.9995,visit_count,50,0.7,0.05,0.99995,False,100000,100000,1500,1.0,-38.804706,-49.1,60.1,60.1,0.0,36.354
